id,category,review,notes,date,rating,customer_region
273,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-09-29,3,APAC
274,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-09-30,3,NA
275,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-10-01,2,EU
276,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-10-02,2,APAC
277,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-10-03,1,NA
278,Clothing,"Sauce tastes like smoked cinnamon lightning � unique-277","Outlier narrative",2024-10-04,4,EU
279,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-10-05,2,APAC
280,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-10-06,5,NA
281,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-10-07,2,EU
282,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-10-08,3,APAC
283,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-10-09,3,NA
284,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-10-10,2,EU
285,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-10-11,2,APAC
286,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-10-12,1,NA
287,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-10-13,2,EU
288,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-10-14,2,APAC
289,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-10-15,1,NA
290,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-10-16,2,EU
291,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-10-17,5,APAC
292,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-10-18,1,NA
293,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-10-19,5,EU
294,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-10-20,2,APAC
295,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-10-21,3,NA
296,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-10-22,3,EU
297,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-10-23,2,APAC
298,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-10-24,3,NA
299,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-10-25,3,EU
300,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-10-26,3,APAC
301,Grocery,"Parrot mimics startup chime with uncanny accuracy � unique-300","Outlier narrative",2024-10-27,4,NA
302,Clothing,"Sparse experimental haiku about quantum states � unique-301","Outlier narrative",2024-10-28,4,EU
303,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-10-29,5,APAC
304,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-10-30,1,NA
305,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-10-31,5,EU
306,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-11-01,3,APAC
307,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-11-02,1,NA
308,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-11-03,3,EU
309,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-11-04,3,APAC
310,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-11-05,1,NA
311,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-11-06,3,EU
312,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-11-07,5,APAC
313,Books,"Sauce tastes like smoked cinnamon lightning � unique-312","Outlier narrative",2024-11-08,4,NA
314,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-11-09,3,EU
315,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-11-10,5,APAC
316,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-11-11,1,NA
317,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-11-12,2,EU
318,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-11-13,5,APAC
319,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-11-14,1,NA
320,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-11-15,2,EU
321,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-11-16,3,APAC
322,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-11-17,5,NA
323,Home,"Sparse experimental haiku about quantum states � unique-322","Outlier narrative",2024-11-18,4,EU
324,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-11-19,5,APAC
325,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-11-20,1,NA
326,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-11-21,5,EU
327,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-11-22,2,APAC
328,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-11-23,3,NA
329,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-11-24,2,EU
330,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-11-25,2,APAC
331,Home,"Device emitted lavender scent unexpectedly � unique-330","Outlier narrative",2024-11-26,4,NA
332,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-11-27,2,EU
333,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-11-28,3,APAC
334,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-11-29,5,NA
335,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-11-30,5,EU
336,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-12-01,3,APAC
337,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-12-02,5,NA
338,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-12-03,5,EU
339,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-12-04,5,APAC
340,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-12-05,1,NA
341,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-12-06,2,EU
342,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-12-07,3,APAC
343,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-12-08,5,NA
344,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-12-09,2,EU
345,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-12-10,5,APAC
346,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-12-11,1,NA
347,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-12-12,3,EU
348,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-12-13,3,APAC
349,Grocery,"Wrench resonates faint harmonic at even torque � unique-348","Outlier narrative",2024-12-14,4,NA
350,Clothing,"Parrot mimics startup chime with uncanny accuracy � unique-349","Outlier narrative",2024-12-15,4,EU
351,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-12-16,5,APAC
352,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-12-17,1,NA
353,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-12-18,2,EU
354,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-12-19,2,APAC
355,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-12-20,1,NA
356,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-12-21,2,EU
357,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-12-22,5,APAC
358,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-12-23,3,NA
359,Tools,"Device emitted lavender scent unexpectedly � unique-358","Outlier narrative",2024-12-24,4,EU
360,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-12-25,5,APAC
361,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-12-26,1,NA
362,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-12-27,5,EU
363,Home,"Wrench resonates faint harmonic at even torque � unique-362","Outlier narrative",2024-12-28,4,APAC
364,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-12-29,1,NA
365,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-12-30,3,EU
366,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-01-01,5,APAC
367,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-02,5,NA
368,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-01-03,3,EU
369,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-01-04,2,APAC
370,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-01-05,5,NA
371,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-01-06,2,EU
372,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-01-07,5,APAC
373,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-01-08,1,NA
374,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-01-09,3,EU
375,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-10,5,APAC
376,Pets,"Sauce tastes like smoked cinnamon lightning � unique-375","Outlier narrative",2024-01-11,4,NA
377,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-01-12,5,EU
378,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-01-13,2,APAC
379,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-01-14,1,NA
380,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-01-15,2,EU
381,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-01-16,2,APAC
